source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.7788791787570517,0.6864800310386672,3.026721849979367,48,2000,2.5826504067481437,2.9839409738630973,2000,0.95
multilingual_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.9530314251824166,0.8237798303538431,3.2918604035075987,48,2000,2.7248863512732595,3.1868674025724424,2000,0.95
multilingual_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.9755361437637475,0.8187374945110972,3.189355234761024,48,2000,2.7427232075904007,3.212013032034656,2000,0.95
multilingual_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.8467978603111987,0.8774555060174518,3.1965435507445363,48,2000,2.6000423777817407,3.093003262728886,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.4213158566877,0.821024243764656,2.534796773499693,480,2000,2.3484541679485487,2.495448083184709,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.8917299477610263,0.8893087340481967,3.2701257740263827,480,2000,2.810989259729184,2.971771573971288,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.7071143470344396,1.1880549883282987,4.22039409649733,480,2000,3.600049317098571,3.815013792324098,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,1.5129647631460101,0.41474018040399974,1.5349447259941371,240,2000,1.4627948813135148,1.5652034921813536,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.7942663548982334,1.5127617432107006,3.889192211543559,240,2000,3.6087104859416863,3.980615919620395,2000,0.95
primary_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.792958291864488,1.5337622957749806,3.6697568640083773,240,2000,3.601255622519408,3.984216404495904,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.5132064629792996,0.6899048296583643,2.732283687480958,480,2000,2.4512047939834565,2.5753031981984695,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.701641364892324,0.8288498667602062,3.03779345699877,480,2000,2.6279667904620143,2.7768615374062513,2000,0.95
